AAA Energy Inc.,AAAE,OTC Markets,United States of America
ALTERNATIVE INVEST,AAAIF,OTC Markets,United States of America
Aareal Bank AG,AAALF,OTC Markets,United States of America
Aluar Aluminio Argentino S.A.I.C.,AAARF,OTC Markets,United States of America
AUPLATA, CAYENNE,AAAUF,OTC Markets,United States of America
Aberdeen International Inc.,AABVF,OTC Markets,United States of America
American Commerce Solutions In,AACS,OTC Markets,United States of America
Asian Dragon Group Inc.,AADG,OTC Markets,United States of America
All American Gold Corp.,AAGC,OTC Markets,United States of America
Aurora Oil & Gas Ltd.,AAGLF,OTC Markets,United States of America
Astral Media Inc.,AAIAF,OTC Markets,United States of America
Avantair, Inc.,AAIR,OTC BB,United States of America
Atlantic American Corp.,AAME,NasdaqGM,United States of America
Astral Mining Corp.,AAMJF,OTC Markets,United States of America
Armada Mercantile Ltd.,AAMTF,OTC Markets,United States of America
Asciano Limited,AANOF,OTC Markets,United States of America
AAON Inc.,AAON,NasdaqGS,United States of America
American Petro-hunter Inc.,AAPH,OTC BB,United States of America
Apple Inc.,AAPL,NasdaqGS,United States of America
All American Pet Company, Inc.,AAPT,OTC Markets,United States of America
Patriot Minefinders Inc.,AARI,OTC BB,United States of America
All American Sportpark Inc.,AASP,OTC Markets,United States of America
Allied American Steel Corp.,AAST,OTC Markets,United States of America
American Assets Trust, Inc.,AAT,NYSE,United States of America
AndeanGold Ltd.,AAUJF,OTC Markets,United States of America
Advantage Oil & Gas Ltd.,AAV,NYSE,United States of America
Atlas Air Worldwide Holdings I,AAWW,NasdaqGS,United States of America
Advanced Battery Technologies,,ABAT,OTC Markets,United States of America
Abaxis, Inc.,ABAX,NasdaqGS,United States of America
ABB Ltd.,ABB,NYSE,United States of America
Auburn Bancorp, Inc.,ABBB,OTC BB,United States of America
AbbVie Inc.,ABBV,NYSE,United States of America
Ameris Bancorp,ABCB,NasdaqGS,United States of America
Cambium Learning Group, Inc.,ABCD,NasdaqCM,United States of America
Abacus Mining & Exploration Corporation,ABCFF,OTC Markets,United States of America
AmBase Corp.,ABCP,OTC Markets,United States of America
Anchor BanCorp Wisconsin, Inc.,ABCW,OTC Markets,United States of America
Aberdeen Asset Management PLC,ABDNF,OTC Markets,United States of America
Abertis Infraestructuras S.A.,ABFOF,OTC Markets,United States of America
Arkansas Best Corporation,ABFS,NasdaqGS,United States of America
Asbury Automotive Group, Inc.,ABG,NYSE,United States of America
American Bonanza Gold Corp,ABGFF,OTC Markets,United States of America
African Barrick Gold plc,ABGLF,OTC Markets,United States of America
African Barrick Gold plc,ABGLY,OTC Markets,United States of America
Abtech Holdings, Inc.,ABHD,OTC Markets,United States of America
ARCA biopharma, Inc.,ABIO,NasdaqCM,United States of America
Abakan, Inc.,ABKI,OTC Markets,United States of America
Ablynx NV,ABLYF,OTC Markets,United States of America
Abcourt Mines Inc.,ABMBF,OTC Markets,United States of America
ABIOMED, Inc.,ABMD,NasdaqGS,United States of America
AltaPacific Bancorp,ABNK,OTC Markets,United States of America
Allegiance Bank of North Ameri,ABPA,OTC Markets,United States of America
Accentia Biopharmaceuticals, Inc.,ABPI,OTC Markets,United States of America
Arbor Realty Trust Preferred Se,ABR-PA,NYSE,United States of America
Arbor Realty Trust Cumulative R,ABR-PB,NYSE,United States of America
Abertis Infraestructuras S.A.,ABRTY,OTC Markets,United States of America
AB Science S.A.,ABSCF,OTC Markets,United States of America
Autobytel Inc.,ABTL,NasdaqCM,United States of America
AB&T,ABTO,OTC Markets,United States of America
Associated Banc-Corp Depositary,ABW-PB,NYSE,United States of America
